,Title,Img,Disc,Rating,Review,Price,Discount
138,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
139,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
140,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
141,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
142,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
143,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
144,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
145,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
146,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
147,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
148,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
149,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
150,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
151,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
152,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
153,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
154,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
155,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
156,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
157,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
158,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
159,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
160,Watermelon Kiran 1 Units,,1.75 - 2.5 Kg,3.9,"(3,446)",₹27,51% off
161,Kabuli Chana,,500 g,4.3,"(4,464)",₹19,78% off
162,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
163,Parle's Cream n Onion Flavour Wafers,,70 g,4,(582),₹14,53% off
164,Vim Dishwash Bar,,300 g,4.1,(731),₹17,15% off
165,Tata  Crystal Iodized Salt,,1 kg,4.3,(848),₹18,35% off
166,Saffola Tasty Pro Fitness Conscious Blended Oil Can,,5 L,4.5,(338),₹726,12% off
167,Rajdhani Kabuli Chana (Whole),,500 g,4.3,(897),₹19,73% off
168,HE Respect Perfume Body Spray  -  For Men,,150 ml,4.1,"(2,124)",₹95,50% off
169,PARLE Khatta Meetha Mixture,,750 g,4.1,"(1,288)",₹74,63% off
170,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
171,Budweiser Non-Alcoholic Can,,330 ml,3.5,(309),₹48,40% off
172,Shubhalaxmi Food Peanut (Whole),,250 g,4.2,(943),₹19,62% off
173,SAVE HEALTH Poha,,0.5 kg,4.2,(134),₹29,58% off
174,Ghadi Detergent Bar,,"800 g, Pack of 5",4.1,(248),₹40,35% off
175,Sreebhog Dalia Broken Wheat,,500 g,4.2,(336),₹21,40% off
176,colin Glass Cleaner Pump,,250 ml,4.1,(376),₹60,50% off
177,MAYBELLINE NEW YORK Colossal Kajal Promo,,"Black, 0.7 g",4.5,"(38,569)",₹187,45% off
178,realme Buds Air 2 with Active Noise Cancellation (ANC) ...,,"Closer Black, True Wireless",4.7,(100),"₹3,299",34% off
179,Kissan Mixed Fruit Jam 100 g,,100 g,4.4,"(2,265)",₹20,14% off
180,Potato 1 kg,,500 g,4.2,"(5,237)",₹20,47% off
